Chalons-en-Champagne,3
Hoerdt,20
Flez-Cuzy+-+Tannay,1
Lamballe,2
Paris+Gare+du+Nord,11
Chamelet,9
Valmondois,34
Dieppe,1
Biarritz,1
Brest,1
Quimper,1
Paris-Montparnasse,1
L%27Hermitage+-+Mordelles,6
"La Défense",5
Byans-sur-Doubs,2
Byans,3
Champlan,1
Stade-de-France-St-Denis,1
Aire-sur-la-Lys,1
Châlons-en-Champagne,1
Lamure-sur-Azergues,1
"Lons-le-Saunier (Lons-le-Saunier)",2
"Paris Austerlitz (Paris)",1
"Paris Saint-Lazare (Paris)",2
"Reims (Reims)",1
L'Hermitage-Mordelles,1
Plouaret-Trégor,1
Paris+Bercy+Bourgogne+-+Pays+d%27Auvergne,4
Valenciennes,1
Valence+TGV+Rh%C3%B4ne-Alpes+Sud,1
Paris+Montparnasse,3
